month,ticker,size,price,market_value
2016-06-30,CL,1797,57.8489129213,103954.4965195761
2016-06-30,CLX,1045,102.9799796175,107614.0787002875
2016-06-30,KLAC,1614,62.1931005665,100379.664314331
2016-06-30,KMB,1112,97.9977314003,108973.4773171336
2016-06-30,LII,818,127.1678391946,104023.2924611828
2016-06-30,LMT,551,190.3617994517,104889.3514978867
2016-06-30,MO,3095,35.3150490846,109300.07691683699
2016-06-30,MSI,1682,56.9465765811,95784.1418094102
2016-06-30,SPGI,980,97.8505948709,95893.582973482
2016-06-30,UPS,1418,73.6446169516,104428.0668373688
2016-07-31,CL,1797,59.1304648138,106257.4452703986
2016-07-31,CLX,1045,98.1131650208,102528.257446736
2016-07-31,KLAC,1614,64.2817698825,103750.776590355
2016-07-31,KMB,1112,92.3451127648,102687.7653944576
2016-07-31,LII,818,139.8311163094,114381.85314108919
2016-07-31,MO,3095,34.6697915173,107303.0047460435
2016-07-31,MSI,1682,59.890154361,100735.239635202
2016-07-31,SPGI,980,111.4799803582,109250.38075103599
2016-07-31,UPS,1418,73.9044104388,104796.4540022184
2016-08-31,CHTR,425,257.21,109314.24999999999
2016-08-31,CLX,1045,98.0907083568,102504.79023285599
2016-08-31,KLAC,1614,59.2583329484,95642.9493787176
2016-08-31,KMB,1112,91.2830192255,101506.717378756
2016-08-31,LII,818,143.6390172446,117496.71610608281
2016-08-31,MO,3095,33.8452957367,104751.19030508651
2016-08-31,MSI,1682,66.4592531602,111784.46381545642
2016-08-31,SPGI,980,113.0379079521,110777.149793058
2016-08-31,UPS,1418,75.2000301393,106633.64273752739
2016-08-31,YUM,1870,54.2233946155,101397.747930985
2016-09-30,CLX,1045,93.7041733219,97920.8611213855
2016-09-30,KLAC,1614,59.64334955,96264.36617370001
2016-09-30,KMB,1112,90.5653539516,100708.6735941792
2016-09-30,LII,818,140.4184497789,114862.2919191402
2016-09-30,MO,3095,32.6914770876,101180.121586122
2016-09-30,SPGI,980,115.8011788119,113485.15523566201
2016-09-30,TSN,1700,58.1086300275,98784.67104675
2016-09-30,UPS,1418,75.29642278,106770.32750204
2016-09-30,YUM,1870,54.2831712604,101509.53025694801
2016-10-31,AMAT,3686,26.166377776,96449.268482336
2016-10-31,CLX,1045,90.4473350329,94517.4651093805
2016-10-31,KLAC,1614,64.2635487692,103721.3677134888
2016-10-31,KMB,1112,82.1435083685,91343.581305772
2016-10-31,LII,818,130.4569040199,106713.74748827821
2016-10-31,MO,3095,34.1856787131,105804.67561704452
